商家id,商品id,别名alias,商品链接,商品名称,分类,展示价格,最低价,最高价,商品图,规格信息,规格摘要,热门,推荐,标签,销量,上架状态,详情抓取状态
113996920,3911803637,270p6r1g4dz546z,https://shop114189088.youzan.com/v2/goods/270p6r1g4dz546z,【新品】抹茶芭乐提,热销口味,138.0,138.0,258.0,"[{""url"":""https://img.yzcdn.cn/upload_files/2026/04/25/Fh2OUloLjBzm-KBHD-z2eWFuY8dQ.jpg"",""size"":""728*728""},{""url"":""https://img.yzcdn.cn/upload_files/2026/03/25/Flc8uygjDhMGGlECw8TSfMfQgxqW.jpg"",""size"":""683*683""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":138.0},{""name"":""5寸"",""price"":188.0},{""name"":""6寸"",""price"":258.0}]}]",尺寸（必须）：4寸138元、5寸188元、6寸258元,True,False,本店销量榜第8;热门,119,1,ok
113996920,4078941629,276u1jasbq57c6y,https://shop114189088.youzan.com/v2/goods/276u1jasbq57c6y,杨梅季 杨梅冷萃酸奶蛋糕,热销口味,138.0,138.0,258.0,"[{""url"":""https://img.yzcdn.cn/upload_files/2025/05/14/FsFgmX_fEGyVJ4sa-tQM0vjKKhFb.jpg"",""size"":""777*776""},{""url"":""https://img.yzcdn.cn/upload_files/2025/05/14/Ft7Mkjzc8Z-NMkKgWy7MdEUZiDib.jpg"",""size"":""826*827""},{""url"":""https://img.yzcdn.cn/upload_files/2025/05/14/Fl8ote-rkw4KRS-7whi-y7jEDUKt.jpg"",""size"":""737*737""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":138.0},{""name"":""5寸"",""price"":188.0},{""name"":""6寸"",""price"":258.0}]},{""name"":""生日帽"",""type"":""addon"",""required"":false,""ask_stage"":""checkout"",""options"":[{""name"":""金色纸质皇冠生日帽（1个）""},{""name"":""不需要生日帽""}]},{""name"":""蜡烛选择"",""type"":""addon"",""required"":false,""ask_stage"":""checkout"",""options"":[{""name"":""加长金色蜡烛1根""},{""name"":""银色弯曲蜡烛1根""},{""name"":""不需要蜡烛""}]}]",尺寸（必须）：4寸138元、5寸188元、6寸258元；生日帽（附属）：金色纸质皇冠生日帽（1个）、不需要生日帽；蜡烛选择（附属）：加长金色蜡烛1根、银色弯曲蜡烛1根、不需要蜡烛,True,False,本店销量榜第6;热门,178,1,ok
113996920,4664215975,1yd11wfp1pk3s79,https://shop114189088.youzan.com/v2/goods/1yd11wfp1pk3s79,【新品】玄米凤梨米布丁,热销口味,158.0,158.0,268.0,"[{""url"":""https://img01.yzcdn.cn/upload_files/2026/07/01/Ft2thDCiXtRw_qUHqnZy5pp0RztA.jpg"",""size"":""866*866""},{""url"":""https://img.yzcdn.cn/upload_files/2026/04/09/FiZhUYGfWFl6tlcp4HNHStbDLCRK.jpg"",""size"":""828*828""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":158.0},{""name"":""5寸"",""price"":198.0},{""name"":""6寸"",""price"":268.0}]}]",尺寸（必须）：4寸158元、5寸198元、6寸268元,True,False,本店人气榜第3;热门,27,1,ok
113996920,4432780168,3ezjd7dhzk0qww1,https://shop114189088.youzan.com/v2/goods/3ezjd7dhzk0qww1,五十铃抹茶杨梅,热销口味,158.0,158.0,268.0,"[{""url"":""https://img.yzcdn.cn/upload_files/2025/05/14/FoBeyYB6In_zsAVAbtzlb9CFgPtZ.jpg"",""size"":""822*1096""},{""url"":""https://img.yzcdn.cn/upload_files/2025/05/14/Fl0aR7bAnDEzP8eovN6LlDSQvct3.jpg"",""size"":""828*1104""},{""url"":""https://img.yzcdn.cn/upload_files/2025/05/14/FssIFbbnceCusS6qHO5jpWgthww5.jpg"",""size"":""828*1104""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":158.0},{""name"":""5寸"",""price"":198.0},{""name"":""6寸"",""price"":268.0}]},{""name"":""生日帽"",""type"":""addon"",""required"":false,""ask_stage"":""checkout"",""options"":[{""name"":""金色纸质皇冠生日帽（1个）""},{""name"":""不需要生日帽""}]},{""name"":""蜡烛选择"",""type"":""addon"",""required"":false,""ask_stage"":""checkout"",""options"":[{""name"":""加长金色蜡烛1根""},{""name"":""银色弯曲蜡烛1根""},{""name"":""不需要蜡烛""}]}]",尺寸（必须）：4寸158元、5寸198元、6寸268元；生日帽（附属）：金色纸质皇冠生日帽（1个）、不需要生日帽；蜡烛选择（附属）：加长金色蜡烛1根、银色弯曲蜡烛1根、不需要蜡烛,True,False,本店人气榜第4;热门,90,1,ok
113996920,4030326194,3nvs0a4qp5nhkqt,https://shop114189088.youzan.com/v2/goods/3nvs0a4qp5nhkqt,冷萃酸奶系列 树莓果果冷萃,热销口味,138.0,138.0,398.0,"[{""url"":""https://img.yzcdn.cn/upload_files/2025/04/15/FvXEz_YIADezvuY2w77ssdfaBVPC.jpg"",""size"":""821*821""},{""url"":""https://img.yzcdn.cn/upload_files/2025/04/15/FjumPKMRlXTe0qwuPmCelQfJpT-z.jpg"",""size"":""709*709""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":138.0},{""name"":""5寸"",""price"":208.0},{""name"":""6寸"",""price"":278.0},{""name"":""8寸（需提前1天下午4点前预定）"",""price"":398.0}]},{""name"":""生日帽"",""type"":""addon"",""required"":false,""ask_stage"":""checkout"",""options"":[{""name"":""金色纸质皇冠生日帽（1个）""},{""name"":""不需要生日帽""}]},{""name"":""蜡烛选择"",""type"":""addon"",""required"":false,""ask_stage"":""checkout"",""options"":[{""name"":""加长金色蜡烛1根""},{""name"":""银色弯曲蜡烛1根""},{""name"":""不需要蜡烛""}]}]",尺寸（必须）：4寸138元、5寸208元、6寸278元、8寸（需提前1天下午4点前预定）398元；生日帽（附属）：金色纸质皇冠生日帽（1个）、不需要生日帽；蜡烛选择（附属）：加长金色蜡烛1根、银色弯曲蜡烛1根、不需要蜡烛,True,False,本店人气榜第5;限时价;热门,146,1,ok
113996920,4371040836,2ojckj3j3ix7c5x,https://shop114189088.youzan.com/v2/goods/2ojckj3j3ix7c5x,【新品】树莓可可芝士挞,热销口味,168.0,168.0,238.0,"[{""url"":""https://img.yzcdn.cn/upload_files/2025/10/22/FlRL0AlFHk5i5LVPRqRDgWEFY3x-.jpg"",""size"":""826*1102""},{""url"":""https://img.yzcdn.cn/upload_files/2025/10/22/FuP08eqapn1Nn4EhgebpVN1EKooj.jpg"",""size"":""832*1110""},{""url"":""https://img.yzcdn.cn/upload_files/2025/10/22/FmI7QBneA-Z26-SspSylQWIbxZgT.jpg"",""size"":""826*1102""},{""url"":""https://img.yzcdn.cn/upload_files/2025/10/22/Fm5c-x4F3iHKbYMvPK2pcJhrA1Jd.jpg"",""size"":""828*1104""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":168.0},{""name"":""5寸"",""price"":238.0}]}]",尺寸（必须）：4寸168元、5寸238元,True,False,本店销量榜第7;热门,166,1,ok
113996920,2202187314,3etcs1b7j3ws814,https://shop114189088.youzan.com/v2/goods/3etcs1b7j3ws814,【热销】覆盆子玫瑰荔枝,热销口味,138.0,138.0,398.0,"[{""url"":""https://img.yzcdn.cn/upload_files/2025/03/06/FodgJNDHxIAYbNnXQBoAhnP4kXv_.jpg"",""size"":""794*794""},{""url"":""https://img.yzcdn.cn/upload_files/2026/05/22/Fo2zzhtZB-GJJ3HmtAHBQom92QJ2.jpg"",""size"":""729*730""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":138.0},{""name"":""5寸"",""price"":208.0},{""name"":""6寸"",""price"":288.0},{""name"":""8寸（需提前1天下午4点前预定）"",""price"":398.0}]}]",尺寸（必须）：4寸138元、5寸208元、6寸288元、8寸（需提前1天下午4点前预定）398元,False,False,限时价,708,1,ok
113996920,4030326279,1y8471ebvil9kd9,https://shop114189088.youzan.com/v2/goods/1y8471ebvil9kd9,冷萃酸奶系列 百香芒芒冷萃,热销口味,138.0,138.0,398.0,"[{""url"":""https://img.yzcdn.cn/upload_files/2025/04/15/FvrJiK9NXi7c3UJ_klEyfaORWYiL.jpg"",""size"":""715*714""},{""url"":""https://img.yzcdn.cn/upload_files/2025/04/15/FtUF0i8RVbWrk50Ja0YkFbhOPttT.jpg"",""size"":""709*709""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":138.0},{""name"":""5寸"",""price"":208.0},{""name"":""6寸"",""price"":278.0},{""name"":""8寸（需提前1天下午4点前预定）"",""price"":398.0}]}]",尺寸（必须）：4寸138元、5寸208元、6寸278元、8寸（需提前1天下午4点前预定）398元,True,False,本店人气榜第8;限时价;热门,150,1,ok
113996920,5098291599,2fn43vsm2t7zcrd,https://shop114189088.youzan.com/v2/goods/2fn43vsm2t7zcrd,【新品】布丁巧克力芝士挞,热销口味,188.0,188.0,258.0,"[{""url"":""https://img.yzcdn.cn/upload_files/2026/04/25/FplHoyXgLH2YWJuC4wWqFEIi9c_w.jpg"",""size"":""708*708""},{""url"":""https://img.yzcdn.cn/upload_files/2025/10/22/FjpqdRWWXOrVAreiXCzuZjoiLQtr.jpg"",""size"":""828*1104""},{""url"":""https://img.yzcdn.cn/upload_files/2025/10/22/Fg7w3rsw5qYc47375yH46Xn_CknZ.jpg"",""size"":""828*1104""},{""url"":""https://img.yzcdn.cn/upload_files/2025/10/22/FprkbXwCNXJul2OQ7cuptbHCFibJ.jpg"",""size"":""826*1102""},{""url"":""https://img.yzcdn.cn/upload_files/2025/10/22/FoxgbbnLOM-w-fAmmqtgZyfpH5M0.jpg"",""size"":""826*1102""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":188.0},{""name"":""5寸"",""price"":258.0}]}]",尺寸（必须）：4寸188元、5寸258元,True,False,本店人气榜第7;热门,71,1,ok
113996920,5683975652,3es5tlq3mik14a0,https://shop114189088.youzan.com/v2/goods/3es5tlq3mik14a0,【新品】杨枝甘露,热销口味,138.0,138.0,258.0,"[{""url"":""https://img.yzcdn.cn/upload_files/2026/04/07/Ft5zYzLkUzwuNxlf5yHPb7K2sn1W.jpg"",""size"":""724*724""},{""url"":""https://img.yzcdn.cn/upload_files/2026/04/02/Fpg3gZ2YAwsZUd9bNpfc2RWeQj7G.jpg"",""size"":""828*829""},{""url"":""https://img.yzcdn.cn/upload_files/2026/04/07/Fk0t9-f9goJ_1Q_-_8bekwc1kpCW.jpg"",""size"":""711*711""},{""url"":""https://img.yzcdn.cn/upload_files/2026/04/02/FiHl_f7N4_xgJ2IFYqyPbj6epnl0.jpg"",""size"":""749*749""},{""url"":""https://img.yzcdn.cn/upload_files/2026/04/02/Ft3Qytf-yMkg_OH-qnubWDtfGTL-.jpg"",""size"":""828*828""},{""url"":""https://img.yzcdn.cn/upload_files/2026/04/09/Foo8x4OiK5il9YCPScohmL-3Famm.jpg"",""size"":""828*829""}]","[{""name"":""尺寸"",""type"":""price"",""required"":true,""ask_stage"":""confirm"",""options"":[{""name"":""4寸"",""price"":138.0},{""name"":""5寸"",""price"":188.0},{""name"":""6寸"",""price"":258.0}]}]",尺寸（必须）：4寸138元、5寸188元、6寸258元,False,False,,30,1,ok
